address,label
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap (UNI)
0xe41d2489571d322189246dafa5ebde1f4699f498,ZRX (ZRX)
0x3155ba85d5f96b2d030a4966af206230e46849cb,THORChain ETH.RUNE (RUNE)
0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,OMG Network (OMG)
0x111111111117dc0aa78b770fa6a738034120c302,1INCH Token (1INCH)
0xba100000625a3754423978a60c9317c58a424e3d,Balancer (BAL)
0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,Injective Token (INJ)
0x3A8cCCB969a61532d1E6005e2CE12C200caeCe87,TitanSwap (Titan)
0x27054b13b1b798b345b591a4d22e6562d47ea75a,AirSwap (AST)
0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,IDEX Token (IDEX)
0x2e1E15C44Ffe4Df6a0cb7371CD00d5028e571d14,Mettalex (MTLX)
0x701c244b988a513c945973defa05de933b23fe1d,OpenANX (OAX)
0x20e94867794dba030ee287f1406e100d03c84cd3,DEW (DEW)
0x1a23a6BfBAdB59fa563008c0fB7cf96dfCF34Ea1,CoFi Token (CoFi)
0x0b342c51d1592c41068d5d4b4da4a68c0a04d5a4,OneSwap (ONES)
0x9af839687f6c94542ac5ece2e317daae355493a1,Hydro Protocol (HOT)
0xf921ae2dac5fa128dc0f6168bf153ea0943d2d43,Fire Protocol (FIRE)
0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53,TIME (TIME)
0xc888a0ab4831a29e6ca432babf52e353d23db3c2,FastSwapToken (FAST)
0xcc13fc627effd6e35d2d2706ea3c4d7396c610ea,IDEX Membership (IDXM)
0xf1f5De69C9C8D9BE8a7B01773Cc1166D4Ec6Ede2,Definitex (DFX)
0x7Ef5ac1FE8B6832EbAddEE1856E4A21E46843565,DaoSwap (DOI)
0xD905e2eaeBe188fc92179b6350807D8bd91Db0D8,Curve.fi DAI/USDC/USDT/PAX (ypaxCrv)
0xc26d79f8dcb5bbbc52e4cf17c6fb800a9aad39a7,MiqiToken (MQ)
0xbe6c8f2810ef39420d2dc2901b8414c8c45fee6d,MICROMINES (MICRO)
0x579353231F3540B218239774422962C64a3693e7,Bitcratic Revenue (BCTR)
0x89bd2e7e388fab44ae88bef4e1ad12b4f1e0911c,NUX Peanut.trade (NUX)
0x617A781e26419b5B0D9BF63c4ECB7f192AdB9768,DEXPRO (DPRO)
0x08130635368AA28b217a4dfb68E1bF8dC525621C,AfroDex (AfroX)
0x946ea588417ffa565976efda354d82c01719a2ea,SWZL (SWZL)
0x578301f78b7269261cea3c968f0643fb1a101e5e,HolderSwap (HFS)
0x2a4A071BCe925D210797c6FB0BC7bd08a80Cb9c2,Burger Token (BURGER)
0xC25a3A3b969415c80451098fa907EC722572917F,Curve.fi DAI/USDC/USDT/sUSD (crvPlain3andSUSD)
0xf217f7df49f626f83f40d7d5137d663b1ec4ee6e,STRONG (STRONG)
0x1c1c14a6b5074905ce5d367b0a7e098b58ebfd47,FidexToken (FEX)
0xff0677aa319585fecd5b06a0bae4d918422ce0e5,EDT2 (EDT2)
0x155ff1A85F440EE0A382eA949f24CE4E0b751c65,Behodler.io (EYE)
0xD8a8843b0a5aba6B030E92B3F4d669FaD8A5BE50,AfroDex Labs Token (AFDLT)
0x286c0936c7eaf6651099ab5dab9ee5a6cb5d229d,Kwikswap (KWIK)
0xBa21Ef4c9f433Ede00badEFcC2754B8E74bd538A,Swapfolio (SWFL)
0xbae5f2d8a1299e5c4963eaff3312399253f27ccb,SOAR.FI (SOAR)
0x7866E48C74CbFB8183cd1a929cd9b95a7a5CB4F4,DexKit (KIT)
0x1712Aad2C773ee04bdC9114b32163c058321CD85,LimitSwap (LIMIT)
0x05bbe7240de66f6480c9aeda77c1376b13393f83,XENO NFT HUB (XNO)
0xf5ed2dc77f0d1ea7f106ecbd1850e406adc41b51,The Ocean Token (OCEAN)
0x60757088C7140E9e7Bc943632ee43A831f1112ac,Fish Token (FISH)
0x6d38574be6c230272daad16fa5f291f825bd0da1,Dinngo (DGO)
0xd2057d71fe3f5b0dc1e3e7722940e1908fc72078,KingToken ($KING)
0x075b1bb99792c9E1041bA13afEf80C91a1e70fB3,Curve.fi renBTC/wBTC/sBTC (crvRenWSBTC)
0xf99d58e463a2e07e5692127302c20a191861b4d6,Anyswap (ANY)
0x9dcd36e6f3dd1186d902de9241e10c2c2171a2ef,PotterSwap Token (PSW)
0xCAC7a8aeC77372449412cA7C1FC945B615EAa957,Yolex.io (YEX)
0xdf44a80c17813789f60090638827aeb23698b122,stableDEX (STDEX)
0xc813EA5e3b48BEbeedb796ab42A30C5599b01740,Autonio (NIOX)
0xDDe12a12A6f67156e0DA672be05c374e1B0a3e57,JOYSO (JOY)
0x845838df265dcd2c412a1dc9e959c7d08537f8a2,Curve.fi cDAI/cUSDC (cDAI+cUSDC)
0x4b21fe3dcbfba42a1e52dc2f2ad332e177f7e1b1,DEC777Token (DEC)
0xA1aC1450ee86c35d1F959f2792cB8cef726Bb60d,YearnSwap (YFSW)
0xCEDDf3a74F9E5012E651428963b9083Ba5E559c4,FX99 (XCIX)
0x3b3ac5386837dc563660fb6a0937dfaa5924333b,Curve.fi yDAI/yUSDC/yUSDT/yBUSD (yDAI+yUSDC+yUSDT+yBUSD)
0x041fdd6637eCfD96af8804278AC12660ac2D12c0,SwapDEX (SDX)
0x8c5E6FdFa54B0027E10d9438E8515b6FA6c38FcC,ICETEA.Finance (ICET)
0x9ec251401eafb7e98f37a1d911c0aea02cb63a80,Bitcratic (BCT)
0x24ea9c1cfd77a8db3fb707f967309cf013cc1078,CAVO (CAVO)
0x66e5dbc7fece1d31eb60af8cfa0563ec0d1a81bd,BitEye Token (BEY)
0x5197FBE1a86679FF1360E27862BF88B0c5119BD8,BITPIF (BPF)
0xe17807e05289b7555d24A07A201aDAb19Bda63f8,ToraSwap (TORA)
0x52a56685EeFc648F01F97ecE0184DA416410B0DA,ALLCOINSWAP (WAP)
0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,Curve.fi yDAI/yUSDC/yUSDT/yTUSD (yDAI+yUSDC+yUSDT+yTUSD)
0xce1298ef635326d9f197963e49e1e67422761897,PiSwap Token (PIS)
0xefc1c73a3d8728dc4cf2a18ac5705fe93e5914ac,Metric.exchange (METRIC)
0x8d10e4b59db263ef4e7b88fcaacfc9ecb821a962,Bittilo (BTLO)
0x96cf107e446a6e528ffd045f4eb6dff3cdb6a666,3XT TOKEN (3XT)
0xb1ed41dc1fe9b723a31137afdd1201d17917fe91,Alttex (ALTX)
0x5967BE3D7B38CEa1f3E5f8d7dEB7860cCfa21CB2,Onto Swap (OSWAP)
0xB96AfAD41789B4225D1283F9bC25F9E2C9fe40Ee,KungfuSwap (KUNGFU)
0x9fC689CCaDa600B6DF723D9E47D84d76664a1F23,Curve.fi cDAI/cUSDC/USDT (cDAI+cUSDC+USDT)
0xcfde94e82f2224Ce9fEb65108e9327c9493BEa17,Unico Defi (UNICO)
0x7705c572d9cc824fBA4e4EFb40F00916534396d9,KimchiSwap (KSWAP)
0x082280b4ae1a9e552555c256124de96fab63159b,Meterqubes (MEQ)
0xf4065e4477e91c177ded71a7a6fb5ee07dc46bc9,CEDEX (CEDEX)
0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490,Curve.fi DAI/USDC/USDT (3Crv)
0x283669123bd83da2536bb534e20512101c18e5d8,Bitpayer Token (BPT)
0xa3b93c2c4579654de50dd2ea227a5d6b98ed44c5,BitTank Token (TANK)
0xb6d7b693ccfd1359d84ce389d7c40f590eba1ff0,Holder Finance (HFI)
0x49849C98ae39Fff122806C06791Fa73784FB3675,Curve.fi renBTC/wBTC (crvRenWBTC)
0x7afA2BbC06Dad88487b5171EA2bcDF938A6b7Ff9,TramsToken (TRAMS)
0x83e6f1E41cdd28eAcEB20Cb649155049Fac3D5Aa,PolkastarterToken (POLS)
0xa960d2ba7000d58773e7fa5754dec3bb40a069d5,One DEX (ODEX)
0x9ae559ac062de221eb5198d90c27e45e85fcaab2,Herdius (HER)
0x61f532EF937E809567d69531Ae533595402Bb4A8,pumpgastoken (PUMP)
0xb9440022a095343b440d590fcd2d7a3794bd76c8,Saturn DAO Token (SATURN)
0x380291A9A8593B39f123cF39cc1cc47463330b1F,Elite Swap (ELT)
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,Uniswap V2: Router 2
0x090d4613473dee047c3f2706764f49e0821d256e,Uniswap: Token Distributor
